timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms,player_count
49383,560.2,15.09,-1.00,1.79,-1.0000,-1.0000,470.65,12019,110,-1,0.0,2
49635,515.7,20.17,-1.00,1.94,-1.0000,-1.0000,470.73,12019,110,-1,0.0,2
49887,418.4,19.63,-1.00,2.39,-1.0000,-1.0000,470.77,12019,110,-1,0.0,2
50138,456.4,13.52,-1.00,2.19,-1.0000,-1.0000,470.83,12019,110,-1,0.0,2
50390,504.2,14.51,-1.00,1.98,-1.0000,-1.0000,470.89,12019,110,-1,0.0,2
50641,510.9,17.59,-1.00,1.96,-1.0000,-1.0000,471.05,12019,110,-1,0.0,2
50892,524.3,24.31,-1.00,1.91,-1.0000,-1.0000,471.11,12019,110,-1,0.0,2
51144,580.4,14.53,-1.00,1.72,-1.0000,-1.0000,471.16,12019,110,-1,0.0,2
51395,512.5,18.69,-1.00,1.95,-1.0000,-1.0000,471.23,12019,110,-1,0.0,2
51645,473.6,12.44,-1.00,2.11,-1.0000,-1.0000,471.30,12019,110,-1,0.0,2
51896,568.2,16.69,-1.00,1.76,-1.0000,-1.0000,471.35,12033,113,-1,0.0,2
52147,531.4,16.03,-1.00,1.88,-1.0000,-1.0000,471.42,12033,113,-1,0.0,2
52397,564.4,19.75,-1.00,1.77,-1.0000,-1.0000,471.49,12033,113,-1,0.0,2
52648,467.3,16.67,-1.00,2.14,-1.0000,-1.0000,471.53,12033,113,-1,0.0,2
52898,555.2,13.51,-1.00,1.80,-1.0000,-1.0000,471.60,12033,113,-1,0.0,2
53150,407.9,14.96,-1.00,2.45,-1.0000,-1.0000,471.65,12033,113,-1,0.0,2
53400,487.2,14.07,-1.00,2.05,-1.0000,-1.0000,471.71,12033,113,-1,0.0,2
53652,531.3,18.64,-1.00,1.88,-1.0000,-1.0000,471.77,12033,113,-1,0.0,2
53903,534.0,19.17,-1.00,1.87,-1.0000,-1.0000,471.85,12033,113,-1,0.0,2
54153,564.2,17.15,-1.00,1.77,-1.0000,-1.0000,471.89,12033,113,-1,0.0,2
54405,583.3,18.19,-1.00,1.71,-1.0000,-1.0000,471.97,12033,113,-1,0.0,2
54667,44.8,13.35,-1.00,22.33,-1.0000,-1.0000,471.86,12033,113,-1,0.0,2
54920,318.1,15.48,-1.00,3.14,-1.0000,-1.0000,469.23,12033,113,-1,0.0,2
55171,459.4,13.98,-1.00,2.18,-1.0000,-1.0000,469.29,12033,113,-1,0.0,2
